E,Ne,dNe
1.5,1.31,1
1.75,1.1,
2,0.91,1
2.25,0.75,
2.5,0.619,1
2.75,0.505,
3,0.407,1
3.25,0.322,
3.5,0.254,1.2
3.75,0.197,
4,0.15,1.5
4.25,0.112,
4.5,0.085,1.9
4.75,0.064,
5,0.0475,2.1
5.25,0.0348,
5.5,0.025,3
5.75,0.0177,
6,0.0124,3.9
6.25,0.0088,
6.5,0.006,4.5
6.75,0.00389,
7,0.00237,5.5
7.25,0.00143,
7.5,0.00084,6
7.75,0.000458,
8,0.000228,9
8.25,0.000118,
8.5,0.000055,20
8.75,0.000024,37
9,0.000009,90
